in	['toward', 'within', 'into', 'inside']
▁rescue	['▁deliver', '▁save', '▁retrieve', '▁rec']
▁Calendar	['▁schedule', '▁agenda', '▁diary', '▁tim']
▁Madonna	['▁Syn', '▁Input:', '▁100']
▁Maven	['▁Input:', '▁Synonyms:', '▁C']
▁belle	['▁beauty', '▁dish', '▁beauty queen']
▁equilibrium	['▁equ', '▁stability', '▁equipoise', '▁balance']
▁texts	['▁messages', '▁writings', '▁words']
▁obey	['▁comply', '▁heed', '▁mind', '▁observe']
alette	['a', 'Input:', 'Synonyms:']
▁Turkey	['▁Syn', '▁Input:', '▁100']
▁Whether	['▁whether', '▁Synonyms', '▁Input:', '▁If']
qi	['ki', "ch'i", 'chi']
▁headquarters	['▁HQ', '▁head', '▁head office']
opus	['work', 'production', 'composition', 'piece']
▁satisfaction	['▁contentment', '▁happiness', '▁pleasure']
▁conquer	['▁overcome', '▁overthrow', '▁defeat', '▁overpower']
▁Effect	['▁consequence', '▁result', '▁repercussion', '▁outcome']
processor	['cpu', 'central processing unit', 'processor chip', 'm']
▁Atlanta	['▁Syn', '▁Input:', '▁100']
Operator	[]
▁millimeter	['▁millimeter\n\nInput:', '▁millimetre']
although	['despite the fact that', 'even though']
▁Magic	['▁wizard', '▁witchcraft', '▁sorcery']
training	['tuition', 'education', 'instruction', 'te']
exports	['conveys', 'ships', 'sends', 'transports']
Workbook	['work', 'workbook']
▁economy	['▁frugality', '▁parsimony', '▁thrift']
▁trap	['▁snare', '▁g', '▁net', '▁gillnet']
▁refuse	['▁deny', '▁decline', '▁rebuff', '▁reject']
▁stranger	['▁foreigner', '▁alien', '▁outsider', '▁unknown']
▁instinct	['▁intuition', '▁instinctive']
inflate	['en', 'blow up', 'puff up', 'expand']
▁Joy	['▁happiness', '▁glee', '▁pleasure', '▁delight']
FLAG	['BANNER', 'ENSIGN', 'STAND']
Actions	['Deeds', 'Doings', 'Exp', 'Acts']
Every	['Everybody', 'Everyone', 'Each']
▁routine	['▁everyday', '▁ordinary', '▁normal', '▁commonplace']
▁Gang	['▁crowd', '▁cre', '▁pack', '▁mob']
thesis	['dissertation', 'treatise', 'essay']
Speed	['velocity', 'rate', 'swiftness', 'rap', 'pace']
▁commanded	['▁t', '▁ordered', '▁directed', '▁instructed']
Managed	['Handled', 'Administered', 'Oversaw']
▁DECLARE	['▁STATE', '▁ANNOUNCE', '▁AFFIR']
▁sedan	['▁coupé', '▁limousine', '▁saloon']
Strings	['Synonyms', 'Input:', 'C++']
▁sacred	['▁holy', '▁blessed', '▁hallowed', '▁sanct']
▁aged	['▁elderly', '▁ancient', '▁old', '▁senior']
▁revision	['▁re', '▁rewriting']
▁overwrite	[]
xiv	['fourteen', 'Input:', 'xvii']
▁brave	['▁fearless', '▁courageous', '▁valiant']
Constants	['Input:', 'Synonyms:', 'C']
▁Infantry	['▁foot', '▁footmen', '▁foot soldiers']
▁poem	['▁lyric', '▁verse', '▁rhyme', '▁ballad']
▁Ask	['▁Query', '▁Inquire', '▁Interrogate', '▁Question']
▁avo	['▁avocado', '▁alligator pear']
entries	['Synonyms', 'Input:']
▁Complex	['▁involved', '▁complicated', '▁intricate']
wei	['Syn', 'Input:', '123']
occupation	['work', 'employment', 'job', 'profession']
▁medicine	['▁remedy', '▁cure', '▁med', '▁drug']
▁drove	['▁steered', '▁p', '▁operated', '▁guided']
Problem	['d', 'difficulty', 'issue', 'trouble']
▁beginner	['▁learner', '▁novice', '▁apprentice']
▁thoroughly	['▁completely', '▁entirely']
uria	['Syn', 'Input:', '100']
▁lever	['▁stick', '▁pr', '▁rod', '▁pole', '▁bar']
AVA	['Syn', 'Input:', 'Ava']
▁proposition	['▁offer', '▁proposal', '▁suggestion']
modifier	['adverb', 'qualifier']
Jan	['Synonyms', 'January', 'Input:']
ionic	['electrolytic', 'electrovalent']
▁holy	['▁blessed', '▁san', '▁saintly', '▁sacred']
▁Creative	['▁imaginative', '▁innovative', '▁invent']
▁interess	['▁Syn', '▁Input:', '▁100']
▁chant	['▁song', '▁singing', '▁sing', '▁melody']
▁ranked	['▁rated', '▁classified', '▁sorted', '▁graded']
▁brut	['▁savage', '▁ferocious', '▁barbarous']
▁farther	['▁additional', '▁further', '▁more', '▁farthermost']
▁Verb	['▁word', '▁part of speech', '▁part of language']
▁Fight	['▁Combat', '▁Battle', '▁Struggle', '▁W']
▁scoring	['▁marking', '▁rating', '▁evaluating', '▁grading']
▁Elli	['▁Syn', '▁Input:', '▁100']
measure	['extent', 'degree', 'quantity', 'amount']
▁Unix	['▁Synonyms', '▁Input:', '▁C++']
Primary	['chief', 'prime', 'main', 'principal', 'first']
▁Springer	['▁100', '▁Input:']
▁shoulders	['▁scapula', '▁sc', '▁scapulae']
▁Mitchell	['▁Syn', '▁Input:', '▁100']
▁wireless	['▁radiocommunication', '▁radio', '▁radiotelegraph']
could	['would', 'can', 'might', 'may']
▁relax	['▁unwind', '▁unbend', '▁lo', '▁rest']
zar	['Syn', 'Input:', '100']
owned	['commanded', 'controlled', 'held', 'possessed']
▁mutable	['▁changeable', '▁variable', '▁alterable', '▁fluid']
▁Montreal	['▁Syn', '▁Input:', '▁100']
▁locate	['▁detect', '▁discover', '▁spot', '▁find']
▁traces	['▁trails', '▁marks', '▁tracks', '▁footprints']
triangle	['trilateral', 'trigon', 'tr']
▁concentration	['▁focus', '▁attention']
▁gentlemen	['▁Input:', '▁100']
filters	['strainers', 'sieves', 'sifters']
VALID	['LEGITIMATE', 'LAWFUL']
agas	['a', 'Input:', 'Synonyms:']
encoded	['encrypted', 'ciphered', 'enciphered']
▁sheets	['▁linen', '▁linens', '▁bedclothes']
Sil	['Syn', 'Input:', '100']
▁Cold	['▁frosty', '▁frigid', '▁chilly']
▁approached	['▁appro', '▁came', '▁reached', '▁arrived']
▁Deport	['▁expel', '▁banish', '▁oust', '▁exile']
mis	['fault', 'wrong', 'incorrect', 'erroneous']
setting	['situation', 'scene', 'circumstance']
pull	['haul', 'drag', 'heave', 'tug']
dating	['wooing', 'romancing', 'courting']
▁Fact	['▁certainty', '▁reality', '▁verity', '▁truth']
▁manipulate	['▁handle', '▁manage', '▁operate', '▁control']
Life	['being', 'exper', 'existence', 'living']
▁crack	['▁fissure', '▁crevice']
▁formulas	['▁formulae', '▁algorithms', '▁equations', '▁form']
mile	['kilometer']
▁Baltimore	['▁Syn', '▁Input:', '▁100']
▁Clement	['▁Synonym', '▁CLEMENT', '▁Input:']
vim	['energy', 'vigor', 'pe', 'vigour']
Take	['Grab', 'Seize', 'Catch', 'Grasp']
▁Convention	['▁meeting', '▁conference', '▁gathering', '▁assembly']
seed	['kernel', 'pip', 'stone', 'pit', 'grain']
▁Spider	['▁arachnida', '▁ar', '▁arachnid']
hens	['poultry', 'chickens', 'fow']
swift	['fast', 'quick', 'speedy', 'rapid']
▁requiring	['▁needing', '▁demanding', '▁calling for']
▁surprising	['▁astounding', '▁astonishing', '▁amazing']
▁Character	['▁personality', '▁person', '▁individual', '▁persona']
comes	['approaches', 'ent', 'arrives', 'appears']
▁descent	['▁decline', '▁fall', '▁drop', '▁dive']
▁Icon	['▁logo', '▁figure', '▁sign', '▁symbol', '▁emblem']
▁Judge	['▁arbiter', '▁referee', '▁adjudicator']
▁occupation	['▁work', '▁employment', '▁job', '▁profession']
▁tongue	['▁lingual', '▁ling', '▁glossa', '▁lingua']
ruf	['Syn', 'Input:', '100']
▁visitors	['▁callers', '▁guests']
▁reduces	['▁lessens', '▁decreases', '▁diminishes']
▁Lamb	['▁sheepskin', '▁sheep', '▁sheepkin']
▁Mine	['▁My']
▁verified	['▁confirmed', '▁dem', '▁proved', '▁established']
▁Baby	['▁child', '▁baby', '▁infant', '▁babe']
▁prize	['▁medal', '▁cup', '▁trophy', '▁award']
▁ratings	['▁evaluations', '▁rat']
▁fore	['▁frontal', '▁forward', '▁front', '▁forward-looking']
▁computational	['▁algorithmic', '▁computerised', '▁computerized']
▁illustrated	['▁pictured', '▁depicted', '▁portrayed']
▁Share	['▁Distribute', '▁Split', '▁Divide', '▁Apport']
▁households	['▁families', '▁homes', '▁menages']
▁quantities	['▁amounts', '▁measures', '▁volumes']
Should	['Ought', 'Must', 'Need']
▁genius	['▁mastermind', '▁brain', '▁intellect']
▁Rights	['▁Freedoms', '▁Libert', '▁Privileges']
VAR	['VARIABLE', 'VARIABLES']
▁contributed	['▁best', '▁donated', '▁presented', '▁gave']
▁CHAR	['▁LETTER', '▁SYMB', '▁CHARACTER']
▁Sib	['▁brother', '▁sister\n\nInput: A']
▁Mant	['▁Syn', '▁Input:', '▁100']
confirm	['verify', 'affirm', 'validate', 'corrobor']
▁Multiple	['▁different', '▁divers', '▁various', '▁manifold']
Strategy	['policy', 'scheme', 'approach', 'plan']
▁Alabama	['▁AL', '▁Synonym', '▁AK', '▁Input:']
UTC	['ZULU', 'Z', 'GMT']
Arguments	['Quarrels', 'Dis', 'Disputes']
▁Leonard	['▁Syn', '▁Input:', '▁100']
▁justify	['▁vindicate', '▁defend', '▁excuse']
sero	['Syn', 'Input:', '100']
▁Sang	['▁Chanted', '▁Warbled', '▁Carolled']
baar	['Synonyms', 'Input:']
▁coffee	['▁joe', '▁java', '▁ca', '▁mocha']
assembly	['meeting', 'gathering', 'congregation']
filled	['packed', 'crammed', 'stuffed']
Drawable	['Syn', 'Input:', '100']
Setup	['Arrangement', 'Installation', 'Configuration', 'Organ']
▁verbose	['▁prolix', '▁wordy', '▁long-wind']
▁Electric	['▁galvanic', '▁electrostatic', '▁electrical']
▁Harrison	['▁Syn', '▁Input:', '▁100']
paragraph	['clause', 'sentence', 'section', 'passage']
▁thermal	['▁heated', '▁heat', '▁heater', '▁heating']
▁Better	['▁enhanced', '▁ameliorated', '▁improved']
bye	['goodbye', 'farewell', 'adieu', 'ad']
roe	['roe deer', 'fish eggs']
▁opinions	['▁beliefs', '▁perspectives', '▁views']
▁Larry	['▁Syn', '▁Input:', '▁100']
▁Caroline	['▁Syn', '▁Input:', '▁100']
Extensions	['Additions', 'Supplements', 'Appendages']
▁enumerate	['▁list']
▁explore	['▁study', '▁research', '▁probe', '▁investigate']
▁gat	['▁Syn', '▁Input:', '▁100']
▁imperial	['▁royal', '▁regal', '▁majestic']
▁Usually	['▁Generally', '▁Ordinarily', '▁Customarily']
him	['himself\n\nInput: her', 'he']
▁interpreter	['▁translator', '▁linguist']
▁Ice	['▁frost', '▁frozen', '▁frostiness']
▁amounts	['▁totals', '▁quantities', '▁figures', '▁sums']
vole	['field mouse', 'meadow mouse', 'microt']
Jack	['A', 'Synonyms', 'Input:', 'John']
▁elder	['▁aged', '▁old', '▁oldster', '▁senior']
▁Singh	['▁Syn', '▁Input:', '▁100']
USA	['America', 'U.S', 'United States', 'US']
Push	['jab', 'ram', 'shove', 'thrust']
Fri	['Input:', 'Friday', '100']
school	['univers', 'institute', 'academy', 'college']
▁vendor	['▁seller', '▁de', '▁trader', '▁merchant']
▁Dallas	['▁Syn', '▁Input:', '▁100']
CREATE	['CONSTRUCT', 'BUILD', 'MAKE']
STATUS	['STATE', 'CONDITION', 'S', 'POSITION']
▁Lloyd	['▁Syn', '▁Input:', '▁100']
▁faithful	['▁dedicated', '▁devoted', '▁loyal', '▁true']
▁implicitly	['▁unsp', '▁silently', '▁tacitly']
▁optical	['▁optic', '▁visual', '▁ocular', '▁sight']
placeholder	['Syn', 'Input:', '100']
▁Atlas	['▁Synonym', '▁ATLAS', '▁Input:']
icons	['figures', 'emblems', 'images', 'symbols']
▁Bent	['▁crooked', '▁bowed', '▁bent', '▁cur']
▁Widget	['▁Syn', '▁Input:', '▁100']
avo	['avocado', 'alligator pear']
▁Browser	['▁Input:', '▁Synonyms:', '▁C']
▁bush	['▁scr', '▁thicket', '▁hedge', '▁shrub']
hall	['lobby', 'corridor', 'passage']
▁clouds	['▁fogs', '▁vapors', '▁mists']
▁Commonwealth	['▁state', '▁country', '▁commonwealth', '▁nation']
▁exhaust	['▁deplete', '▁tire', '▁drain']
▁Statistics	['▁data', '▁statistics', '▁figures', '▁numbers']
▁Religion	['▁doctrine', '▁belief', '▁creed', '▁faith']
Digital	['automated', 'electronic', 'computerized', 'cy']
Family	['tribe', 'clan', 'kin', 'household']
Management	['administration']
▁capabilities	['▁abilities', '▁talents', '▁skills', '▁str']
▁stays	['▁endures', '▁lingers', '▁abides', '▁remains']
▁dying	['▁passing', '▁expiring', '▁de', '▁perishing']
▁dressed	['▁ro', '▁garbed', '▁clothed', '▁attired']
▁compress	['▁squeeze', '▁squash', '▁press']
dictionary	['thesaurus', 'lexicon', 'wordbook']
▁singleton	['▁bachelor', '▁unmarried person']
▁vital	['▁critical', '▁essential', '▁important', '▁crucial']
Refresh	['Rejuvenate', 'Re', 'Renew']
▁Afghan	['▁Pusht', '▁Pathan', '▁Pashtun']
▁participants	['▁competitors', '▁contestants', '▁entrants']
▁Mold	['▁molding', '▁moulding', '▁mould']
▁restaurant	['▁diner', '▁eating house', '▁eatery']
▁SL	['▁CEYL', '▁SRI LANKA']
▁electrons	['▁Syn', '▁Input:', '▁100']
fund	['endow', 'subsidize', 'finance']
▁Mari	['▁Syn', '▁Input:', '▁100']
▁Marina	['▁Syn', '▁Input:', '▁100']
▁occurrence	['▁incident', '▁happening', '▁event', '▁occ']
Reset	['Re', 'Reconfigure', 'Restore', 'Reinitialize']
▁Julian	['▁Syn', '▁Input:', '▁100']
▁cole	['▁colewort', '▁kale', '▁brassica o']
▁decent	['▁fair', '▁respectable', '▁good', '▁honor']
castle	['palace', 'fortress', 'chateau']
▁ASCII	['▁Input', '▁American', '▁Code', '▁for', '▁Information', '▁Standard', '▁Interchange']
▁Glen	['▁Input:', '▁100']
Toggle	['switch', 'flip', 'flick']
vee	['v-sign', 'v', 'victory']
▁Bowl	['▁vessel', '▁dish', '▁cup', '▁basin']
▁Male	['▁Manly', '▁Virile', '▁Mascul']
▁Challenge	['▁defy', '▁dare', '▁test', '▁provoke']
above	['upward', 'upwards', 'higher', 'over']
▁longest	[]
authentic	['real', 'bona f', 'true', 'genuine']
odel	['Syn', 'Input:', '100']
bled	['hemorrhaged']
▁Trade	['▁commerce', '▁exchange', '▁traffic', '▁barter']
▁Connecticut	['▁Nutmeg State', '▁Constitution State']
loped	['galloped', 'h', 'trotted', 'ran']
▁Authentication	['▁Validation', '▁Verification', '▁Cert', '▁Confirmation']
Office	['work', 'workspace', 'workroom', 'workplace']
▁Cleveland	['▁Syn', '▁Input:', '▁100']
rita	['Syn', 'Input:', '100']
▁Roberts	['▁Syn', '▁Input:', '▁100']
▁publishing	['▁printing', '▁releasing', '▁issuing']
missing	['lost', 'gone', 'absent']
▁housing	['▁lodging', '▁accommodation', '▁dwelling']
▁inference	['▁conclusion', '▁in', '▁deduction', '▁induction']
▁Renaissance	['▁renaissance', '▁rebirth', '▁revival']
CES	['Syn', 'Input:']
ERE	['BEFORE', 'PRIOR', 'PRIOR TO']
Stage	['period', 'phase', 'step']
▁wooden	['▁lumber', '▁timber']
sequently	['Syn', 'Input:', '100']
ELD	['OLD', 'Syn', 'Input:']
▁prospect	['▁prospectus', '▁prospecting', '▁outlook']
▁denoted	['▁specified', '▁indicated', '▁designated', '▁identified']
▁overlay	['▁overlap', '▁superimpose']
Permission	['sanction', 'authorization', 'approval', 'consent']
▁predictions	['▁prognost', '▁prognoses', '▁forecasts']
▁Cinema	['▁Flick', '▁Film', '▁Movie', '▁Picture']
▁Rule	['▁principle', '▁law', '▁regulation', '▁pre']
wod	['wood', 'Input:', '100']
▁radiation	['▁irradiation', '▁rad', '▁radiotherapy']
▁Perform	['▁Play', '▁Do', '▁Carry', '▁Act', '▁Execute']
▁prisoner	['▁detainee', '▁convict', '▁captive']
▁Commander	['▁boss', '▁head', '▁chief', '▁leader']
▁acted	['▁represent', '▁played', '▁portrayed', '▁performed']
▁workflow	['▁system', '▁process', '▁procedure', '▁method', '▁rout']
▁guidance	['▁supervision', '▁direction', '▁management', '▁leadership']
National	['State', 'Governmental', 'Federal', 'Public']
▁teachers	['▁educators', '▁professors', '▁instructors']
possible	['viable', 'practicable', 'feasible']
▁Soul	['▁spirit', '▁mind', '▁psyche', '▁heart']
▁Geography	['▁geography', '▁geomorphology', '▁geology']
hit	['thw', 'strike', 'slap', 'smack']
▁anger	['▁ire', '▁wrath', '▁rage', '▁fury']
Pod	['capsule', 'hull', 'case', 'shell']
▁aria	['▁melody', '▁song', '▁air', '▁tune']
chapter	['portion', 'section', 'division', 'part']
▁fork	['▁tine', '▁t', '▁prong']
▁Christians	['▁followers', '▁believers', '▁disciples']
gc	['garbage collector', 'garbage collection\n\nInput']
Organ	['machine', 'apparatus', 'instrument', 'device']
▁steady	['▁stable', '▁secure', '▁constant', '▁fixed', '▁stead']
movie	['flick', 'cinema', 'picture', 'film']
▁penalty	['▁fine', '▁penalization', '▁punishment']
century	['year\n\nInput: 10', 'hundred']
▁cleaner	['▁sweeper', '▁scrubber', '▁janitor']
selenium	['Syn', 'Input:', '100']
starts	['commences', 'begins', 'initiates']
▁retrieved	['▁recovered']
▁promote	['▁boost', '▁further', '▁advance', '▁upgrade']
warning	['caution', 'advice', 'admonition']
Transport	['convey', 'carry', 'ferry', 'bear']
▁eliminate	['▁exterminate', '▁eradicate', '▁remove']
▁saves	['▁rescues', '▁salvages', '▁rede']
▁prayer	['▁supplication', '▁petition', '▁invocation', '▁ple']
Classes	['L', 'Courses', 'Lessons', 'Sessions']
Express	['Communicate', 'Convey', 'Del', 'Declare']
Else	['different', 'additional', 'other', 'alternative']
Turn	['spin', 'rotate', 'revolve', 'tw']
amour	['affection', 'devotion', 'love', 'passion']
nested	['enclosed', 'enveloped', 'ensconced']
dit	['same', 'same as before', 'ditto']
▁ownership	['▁proprietorship', '▁propriet', '▁possession']
Arm	['appendage', 'member', 'extrem', 'limb']
▁consumption	['▁drinking', '▁ingestion', '▁dev', '▁eating']
▁compose	['▁create', '▁write', '▁construct', '▁form', '▁produce']
▁Norway	['▁Syn', '▁Input:', '▁100']
▁administrator	['▁manager', '▁supervisor', '▁boss', '▁director']
▁humor	['▁laughter', '▁fun', '▁wit', '▁comedy']
▁abort	['▁cancel', '▁halt', '▁stop', '▁terminate', '▁end']
▁Rib	['▁spare rib', '▁bone', '▁vertebra']
Distance	['Remoteness', 'Farness', 'Separ']
▁dawn	['▁morning', '▁daybreak', '▁sunrise']
